"x"
"PriSchGenParity"
"SecSchGenParity"
"TerSchGenParity"
"MalayPostSec"
"ChinesePostSec"
"IndianPostSec"
"OverallPostSec"
"PriSchPupilTeacher"
"SecSchPupilTeacher"
"PSLEPass"
"NOLvlPass"
"AlvlPass"
"PriSchNum"
"SecSchNum"
"PriEnrolment"
"MalePriEnrolment"
"FemalePriEnrolment"
"SecEnrolment"
"MaleSecEnrolment"
"FemaleSecEnrolment"
"GovtExpenditureEdu"
"Year"
